LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2000062912  5625223       2.02     141.65  1
        2000062915  5724505       2.13     141.72  1
        2000062918  5857700       2.17     142.08  1
        2000062921  6099672       2.26     142.25  1
        2000063000  6274528       2.34     142.53  1
        2000063003  6429269       2.43     142.55  1
        2000063006  6539139       2.54     142.53  1
        2000063009  6595189       2.62     142.57  1
        2000063012  6672496       2.72     142.62  1
        2000063015  6907270       2.87     142.33  1
        2000063018  7113406       3.00     142.04  1
        2000063021  7100842       3.08     141.60  1
        2000070100  7070449       3.25     141.14  1
        2000070103  6997689       3.39     140.42  1
        2000070106 11975375       3.84     121.93  1
        2000070109 12138810       4.19     120.50  1
        2000070112 11913231       4.37     119.92  1
        2000070115 11575479       4.63     119.10  1
        2000070118 11333761       4.93     117.89  1
        2000070121 10645804       5.67     114.82  1
        2000070200 10642574       5.74     114.69  1
        2000070203 10657131       5.86     114.90  1
        2000070206 10755616       6.02     114.85  1
        2000070209 10911272       6.20     114.41  1
        2000070212 10771778       6.39     114.06  2
        2000070215 10635147       6.57     114.07  2
        2000070218 10747365       6.71     114.23  2
        2000070221 10964342       6.89     113.88  2
        2000070300 10942613       7.10     113.63  2
        2000070303 10940932       7.32     113.42  2
        2000070306 11188020       7.39     113.18  2
        2000070309 11605487       7.53     112.71  2
        2000070312 11802881       7.54     112.60  2
        2000070315 12068406       7.63     112.54  2
        2000070318 12259705       7.68     112.73  2
        2000070321 12423109       7.69     112.57  2
        2000070400 12685574       7.92     112.14  2
        2000070403 12978308       8.36     111.27  2
        2000070406 12902062       8.52     111.49  2
        2000070409 13134904       8.88     111.12  2
        2000070412 13091228       9.06     111.18  2
        2000070415 12942091       9.05     111.63  2
        2000070418 13283603       9.23     111.38  1
        2000070421 13255652       9.39     111.29  1
        2000070500 13043059       9.65     111.58  1
        2000070503 12887610      10.05     111.96  2
        2000070506 12711731      10.39     112.06  2
        2000070509 12928491      10.99     111.73  2
        2000070512 12462914      11.60     112.52  2
        2000070515 10552392      14.53     116.45  2
        2000070518 10546376      14.77     117.07  2
        2000070521 10536740      15.12     117.16  2
        2000070600 10417606      15.39     117.41  2
        2000070603 10456028      15.63     117.62  2
        2000070606 10537555      15.81     117.55  2
        2000070609 10867008      16.11     116.93  2
        2000070612 11050202      16.30     116.56  2
        2000070615 11126422      16.49     116.25  2
        2000070618 11284218      16.68     115.65  2
        2000070621 12898096      15.95     118.76  2
        2000070700 13248217      16.13     118.39  2
        2000070703 13390235      16.24     118.87  2
        2000070706 13511392      16.42     118.82  2
        2000070709 14433193      16.79     117.24  1
        2000070712 14553814      16.83     117.28  1
        2000070715 14420438      16.77     117.97  2
        2000070718 14500895      16.73     118.10  2
        2000070721 14481988      16.78     118.34  2
        2000070800 14506380      16.73     118.77  2
        2000070803 14545032      16.62     119.08  2
        2000070806 14408217      16.51     119.03  2
        2000070809 14833713      16.17     119.01  2
        2000070812 14791772      15.69     119.73  2
        2000070815 14695256      15.38     119.86  2
        2000070818 14466798      15.09     119.62  2
        2000070821 14181140      14.69     119.38  2
        2000070900 13882906      14.22     119.15  2
        2000070903 13569738      13.75     118.89  2
        2000070906 13016421      13.05     118.16  2
        2000070909  7794938      19.29     101.65  2
        2000070912  7241942      19.36     101.09  2
        2000070915  6936337      19.44     100.97  2
        2000070918  6793417      19.46     100.84  2
        2000070921  6742329      19.37     100.75  2
        2000071000  6749184      19.29     100.87  2
        2000071003  6625402      19.22     100.93  2
        2000071006  6639110      19.09     100.88  2
        2000071009  6855872      19.02     100.73  2
        2000071012  6760446      18.85     100.63  2
        2000071015  6629201      18.67     100.65  2
        2000071018  6665604      18.51     100.59  2
        2000071021  6768240      18.31     101.02  2
        2000071100  6865918      17.99     101.05  2
        2000071103  6969965      17.63     100.61  2
        2000071106  6977497      17.24      99.61  1
        2000071109  7109506      16.85      98.13  1
        2000071112  7179157      16.59      97.58  1
        2000071115  7220779      16.48      97.04  1
        2000071118  7151274      16.41      96.71  1
        2000071121  7060207      16.34      96.50  1
        2000071200  7078670      16.28      96.38  1
        2000071203  6938323      16.29      96.02  1
        2000071206  6807941      16.26      95.55  1
        2000071209  6883050      16.33      95.19  1
        2000071212  6742840      16.37      94.85  1
        2000071215  6634519      16.38      94.90  1
        2000071218  6572722      16.36      95.06  2
        2000071221  6524597      16.57      94.51  2
        2000071300  6349854      16.72      93.71  2
        2000071303  6114294      16.86      92.84  2
        2000071306  5943191      16.98      92.35  2
        2000071309  5972514      17.16      92.12  2
        2000071312  5876023      17.26      92.06  2
        2000071315  5781787      17.31      92.43  2
        2000071318  5839879      17.32      93.03  2
        2000071321  5867067      17.23      93.89  2
        2000071400  5667819      17.32      93.83  2
        2000071403  5475030      17.37      94.01  2
        2000071406  5313677      17.36      94.66  2
        2000071409  5282278      17.50      95.38  2
        2000071412  5035464      17.52      96.48  2
        2000071415  4634580      17.36      98.22  2
        2000071418  2923788      15.16     112.75  2
        2000071421  2855250      14.76     114.67  2
        2000071500  2968261      14.58     115.57  2
        2000071503  3078369      14.58     115.45  2
